
📺中国央视频道,#genre#
浙江卫视,http://116.128.242.83:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://220.249.114.102:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://61.136.172.236:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://115.60.241.249:2000/rtp/225.1.4.84:1113
浙江卫视,http://221.221.167.14:8888/rtp/239.3.1.137:8036
浙江卫视,http://218.241.192.50:8808/rtp/239.3.1.137:8036
浙江卫视,http://60.7.56.33:4000/rtp/239.253.92.90:8020
浙江卫视,http://111.192.0.32:4022/rtp/239.3.1.137:8036
浙江卫视,http://60.164.128.167:8029/rtp/239.255.30.132:8231
湖南卫视,http://116.128.242.83:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://220.249.114.102:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://42.48.50.232:9002/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://183.94.146.109:2222/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://111.192.0.32:4022/rtp/239.3.1.132:8012
湖南卫视,http://123.112.19.67:8012/rtp/239.3.1.132:8012
湖南卫视,http://221.221.167.14:8888/rtp/239.3.1.132:8012
湖南卫视,http://218.241.192.50:8808/rtp/239.3.1.132:8012
湖南卫视,http://115.60.241.249:2000/rtp/225.1.4.82:1111
湖南卫视,http://60.164.128.167:8029/rtp/239.255.30.136:8231
北京卫视,http://61.136.172.236:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://42.48.50.232:9002/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://183.94.146.109:2222/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://220.249.114.102:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://111.192.0.32:4022/rtp/239.3.1.241:8000
北京卫视,http://221.221.162.225:8888/rtp/239.3.1.241:8000
北京卫视,http://218.241.192.50:8808/rtp/239.3.1.241:8000
北京卫视,http://60.7.56.33:4000/rtp/239.253.92.87:8014
北京卫视,http://221.221.167.14:8888/rtp/239.3.1.241:8000
北京卫视,http://60.164.128.167:8029/rtp/239.255.30.133:8231
湖北卫视,http://116.128.242.83:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://183.94.146.109:2222/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
